,ID,volume (voxel counting),Sphericity,Surface area (mesh),Skewness,Minimum Intensity,Mean,Maximum Intensity,Kurtosis,Correlat,Contrast,AngScMom,Entropy,GLCM difference average,InvDfMom,NGTDM coarseness,NGTDM contrast,NGTDM busyness,ShrtREmp,LngREmph,GLRLM Low Gray Level Run Emphasis,GLRLM High Gray Level Run Emphasis,GLRLM Short Run Low Gray Level Emphasis,GLRLM Short Run High Gray Level Emphasis,GLRLM Long Run Low Gray Level Emphasis,GLRLM Long Run High Gray Level Emphasis,GlevNonU,RLNonUni,GLRLM Run Percentage
0,R01-088,0,0,0,0.40462568,0,33349.921,0,-1.0507661,0.500407286,0.515190886,0.523272858,0.487108466,0,0.503912556,0,0,0,23.2857145,112.602465,0,0,0,0,0,0,74.5146715,0.28829022,0
0,R01-089,0,0,0,-3.2197359,0,1062.3479,0,22.512503,0.586686066,0.595571918,0.594071426,0.587456946,0,0.592973334,0,0,0,644.764915,728.6457,0,0,0,0,0,0,12.4450005,0.54359391,0
0,R01-090,0,0,0,-2.2788052,0,33838.194,0,12.151617,0.39551105,0.381544576,0.470403188,0.441225376,0,0.392024024,0,0,0,718.508145,1003.773585,0,0,0,0,0,0,15.96917505,0.573178755,0
0,R01-091,0,0,0,0.39283036,0,585.8722,0,-1.4075646,2.6001177532,1.8960209278,1.9431774642,4.3942401684,0,3.3307153328,0,0,0,172.0749,19.161184,0,0,0,0,0,0,2.14946815,0.86032091,0
0,R01-092,0,0,0,0.39615609,0,33288.329,0,-1.2267506,0.502133804,0.513097814,0.53008468,0.49399579,0,0.506171812,0,0,0,27.2593815,106.3234085,0,0,0,0,0,0,115.7417885,0.32758395,0
0,R01-093,0,0,0,-0.037168221,0,33370.2,0,-1.520898,0.477206074,0.511261726,0.494729498,0.463923818,0,0.492210272,0,0,0,17.598577,70.2371275,0,0,0,0,0,0,44.3115685,0.32545459,0
0,R01-094,0,0,0,-0.528041,0,33514.566,0,-1.3311827,0.47256638,0.46990891,0.497809308,0.456713806,0,0.451515292,0,0,0,23.5272415,60.071995,0,0,0,0,0,0,19.1250935,0.388390055,0
0,R01-095,0,0,0,0.49787592,0,33301.066,0,-0.53160043,0.451522776,0.465349784,0.4898139894,0.437201036,0,0.462110626,0,0,0,7.27448105,36.589011,0,0,0,0,0,0,77.3716725,0.276134665,0
0,R01-096,0,0,0,-0.28288252,0,33496.756,0,-1.411388,0.45589651,0.470887486,0.5104025,0.475898876,0,0.473438596,0,0,0,39.8071875,106.5357415,0,0,0,0,0,0,25.837242,0.386552165,0
0,R01-097,0,0,0,0.0590256,0,33396.663,0,-1.4013315,0.47430115,0.502591718,0.497902498,0.445333272,0,0.48219273,0,0,0,29.136185,91.9279855,0,0,0,0,0,0,28.5882355,0.34729692,0
0,R01-098,0,0,0,-0.8784231,0,824.55684,0,-0.68466678,1.9439042892,1.5430580764,1.2631001662,2.2078394922,0,1.9353252314,0,0,0,826.007695,129.70284,0,0,0,0,0,0,3.375677,0.77938605,0
0,R01-099,0,0,0,-1.8170187,0,940.23542,0,2.1288194,1.032330952,0.873438006,0.859856674,1.324341134,0,1.054636828,0,0,0,571.439695,111.67243,0,0,0,0,0,0,31.3130045,0.706432405,0
0,R01-100,0,0,0,0.59158669,0,33290.044,0,0.041505204,0.5048469256,0.525419768,0.515173708,0.4892224252,0,0.5048263754,0,0,0,6.64970985,63.703914,0,0,0,0,0,0,269.368935,0.239070845,0
0,R01-101,0,0,0,-0.12673106,0,713.87042,0,-1.1933544,2.0476334204,1.7745506852,1.2011027632,2.1544296242,0,2.0968738454,0,0,0,366.4757,41.974956,0,0,0,0,0,0,2.70333055,0.809048745,0
0,R01-102,0,0,0,-1.7895876,0,33762.229,0,3.4179041,0.4281791228,0.4262053634,0.483062994,0.439948246,0,0.4320807412,0,0,0,141.319116,234.567085,0,0,0,0,0,0,12.24002155,0.512503285,0
0,R01-103,0,0,0,-0.69023174,0,33707.072,0,3.8061633,0.470581382,0.472292632,0.494810646,0.46675304,0,0.476027788,0,0,0,236.62025,476.667375,0,0,0,0,0,0,19.7890995,0.489915945,0
0,R01-104,0,0,0,0.16621398,0,33357.974,0,-1.1218659,0.474995556,0.473509198,0.487152842,0.448133686,0,0.474526224,0,0,0,36.556225,116.22937,0,0,0,0,0,0,72.3432785,0.3943981,0
0,R01-105,0,0,0,-0.49474052,0,33598.018,0,-0.83541845,0.510060674,0.519683572,0.530759604,0.502426572,0,0.509647392,0,0,0,18.0009615,88.2117345,0,0,0,0,0,0,45.612744,0.246689915,0
0,R01-106,0,0,0,-0.14843979,0,713.03458,0,-1.3408785,4.1674437798,2.9754430406,2.5278990026,5.0414874924,0,3.8501292448,0,0,0,592.79717,48.554318,0,0,0,0,0,0,1.9356073,0.87264793,0
0,R01-107,0,0,0,-0.30486543,0,33539.011,0,-0.99763917,0.48038432,0.482307048,0.5108767,0.487133414,0,0.478197548,0,0,0,108.873808,258.35422,0,0,0,0,0,0,51.85997,0.449499095,0
0,R01-108,0,0,0,-0.31399125,0,33471.331,0,-1.3137452,0.3930385324,0.3935952758,0.4857283522,0.392587179,0,0.393460638,0,0,0,3.96666665,16.4333335,0,0,0,0,0,0,41.5166665,0.24492081,0
