ID,original_shape_VoxelVolume,original_shape_Sphericity,original_shape_SurfaceArea,original_firstorder_Skewness,original_firstorder_Minimum,original_firstorder_Mean,original_firstorder_Maximum,original_firstorder_Kurtosis,original_glcm_Correlation,original_glcm_Contrast,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_DifferenceAverage,original_glcm_Idmn,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Busyness,original_glrlm_ShortRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_gldm_GrayLevelNonUniformity,original_glrlm_RunLengthNonUniformity,original_glrlm_RunPercentage
024,4905.527133868802,0.5061884906788946,2747.608401218319,-0.07060615464342154,0.0,589.6660665294925,1145.0,1.6674046144972416,0.8380784281067281,68.76379140423415,0.004500981581231291,9.512218072706323,5.6136383745330285,0.9716217291821708,0.0010042304772454717,0.6454101393543571,1.012835526650057,0.920253020774922,1.5518553942104487,0.0228469289490188,763.5447783041901,0.018422572683059902,690.4449702323355,0.06034177977484735,1227.6719922700672,338.62894375857337,8345.78617958261,0.8772620555027963
025,57048.69817055192,0.3628083900356192,19735.78312815679,-0.016530319917876506,0.0,633.3636001441879,1544.0,1.281461595284248,0.9226718424095564,31.47369499264558,0.014954199217909988,8.268727333203767,3.376044474958265,0.9922559949762744,9.529177928752278e-05,0.235714340947632,5.246119625763173,0.8626764069602552,2.0770230177443425,0.006282935449904509,793.7085271942906,0.005474473363949988,643.251287420373,0.011189830804388928,2187.363990929215,8785.144048770924,88646.67930055464,0.7960436864039665
026,2453.984468226771,0.6062888534837968,1443.0306665563699,-0.7859621429144334,100.0,830.474113996407,1305.0,2.300789812861058,0.7468564908198866,45.77042805482055,0.013981164822926356,8.298643266719527,4.515406046704233,0.982465811693838,0.0017076758279105822,0.2628506482623838,0.2979667007685466,0.910575644792891,1.5910280914078683,0.003979452045478968,934.4756192374186,0.003844379853482593,812.4296128171044,0.004695709804586869,1771.0005010632508,357.0186183243508,4216.514775646514,0.8662546011884573
027,89349.365234375,0.5156545915449425,18706.51616954356,-2.6728883864265183,0.0,1033.553248172689,1833.0,13.882904522782738,0.31418242743165337,30.03423378286013,0.01034955088045331,7.540521122737638,3.6168441919113867,0.9948057552790938,0.0002325244362036906,0.044454217162712084,0.9521795420735764,0.9267354294673026,1.3613283386877022,0.0012152119320516686,1778.4740328158146,0.0011692281606264026,1643.1227493176084,0.001437135140718048,2446.0113502117483,2587.5163604071317,21792.07351182356,0.90142506581471
028,117543.701171875,0.6235125022421524,18583.84676152281,-2.5125531246870403,0.0,985.9094621764262,1477.0,9.665009609029859,0.526526271197276,56.1212666910867,0.011660048400738999,7.842506845706613,4.367575153811972,0.986526180059848,0.0002092332324713878,0.12958968180135272,1.2356081601483098,0.9191960805444752,1.4160778056248982,0.007373706428567398,1651.9860649488714,0.00638268454192394,1506.568507758851,0.012918445932526113,2401.6350305098745,2758.034556421211,22955.53882015329,0.8902386567943241
029,75969.02250855285,0.3353578721834785,25842.319353803327,-1.2896396369541172,0.0,863.1576343265273,2559.0,3.2526015389148983,0.8174419592357982,49.53425406314246,0.010193049069431413,8.399041338677456,4.216377593230743,0.9955379320090396,6.014128082267441e-05,0.16541626601443596,4.030041096827001,0.9168713564613368,1.439110949127922,0.008924765166555559,1348.4873328663307,0.008520088851588666,1214.4877694462525,0.010919399258146974,2070.261186777143,10030.178597715563,104706.97952901367,0.8860879803891554
030,1754.0612902434423,0.4613329509900415,1513.7697980616547,-0.22427775690832893,0.0,723.1498470948012,1517.0,1.8292772144568537,0.601442126601352,127.11879744219758,0.0012543938264948035,10.24024532644344,8.261820732296123,0.9698399715687928,0.0022332830009542007,0.5549382932405129,0.2590749385893416,0.9690782598566986,1.1357175589467117,0.00805414227863256,1028.5538983468248,0.007988741828559475,987.400112274772,0.008340511331368424,1212.5715759405134,92.17584097859327,3467.1763387802303,0.9584999607935388
031,2433.013916015625,0.5139446267229766,1691.5386700033948,-1.5341731955820903,0.0,924.6103794292882,1416.0,4.775998065184429,0.5249953114741801,100.3447886042843,0.004029834621128597,9.163392613502984,6.698316411521847,0.9735978074770496,0.0010813535382533873,0.3695976746246733,0.3123701024350188,0.95224547050674,1.2202787302889768,0.01474451181187023,1513.5580850138604,0.013385863065705902,1429.8959014594836,0.021149024428974702,1901.2816899980176,303.2906867356538,5265.847837531656,0.9356803434884338
032,35505.168914794915,0.31800935229603394,16405.430737629784,0.11802866241908967,0.0,651.6100759744837,3350.0,2.4136863256809007,0.6949430486766853,179.6916591104377,0.001699102930919065,10.692073782008917,9.41040123962878,0.9906235408097971,5.123719239323037e-05,0.2335399522626556,3.8961742879850965,0.9574330689857259,1.2187165008545753,0.08141850698009999,1033.0367491507486,0.06609077432738808,998.8796912479995,0.18113139386260416,1184.61943057854,2994.1417929281947,96631.97858977476,0.9394332942158576
033,2786.0848032871645,0.36475569023782745,2609.715023361496,-0.4081187883744528,0.0,743.9759493670887,1489.0,1.9693440151423216,0.6162225039501764,120.29093700707662,0.001478579393178178,10.207773199912706,7.859439653021793,0.9707085988771844,0.0014336131903803836,0.5265181524876452,0.3567028729116652,0.9673757370413648,1.1464000208113059,0.012728351657578086,1077.113314103538,0.012217448236938148,1030.9725443836658,0.015014550527842443,1287.3453753224455,153.88259493670887,5544.300506857907,0.9558057448880236
034,16445.544197159787,0.3254490503582188,9589.02560710265,-0.4341043567910126,0.0,748.8273533999948,1623.0,1.980256694937831,0.5889956947888784,159.1901799794165,0.0010842465619945328,10.688196942657957,9.040299810925069,0.9674002671669738,0.0002006696481288128,0.5779640054125956,2.2243425830699315,0.9663294435546674,1.1530037715280717,0.023313244375502785,1120.915860132474,0.020930685254685246,1078.2667933842283,0.038452595642287216,1311.6576731765601,942.2182696979773,34155.67580152478,0.9542903456158192
