Mask,Image,ID,original_shape_VoxelVolume,original_shape_MeshVolume,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_Sphericity,original_shape_Maximum3DDiameter,original_shape_Maximum2DDiameterSlice,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_MajorAxisLength,original_shape_MinorAxisLength,original_shape_LeastAxisLength,original_shape_Elongation,original_shape_Flatness,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
R01-047_roi.nii,R01-047.nii,data/dataset/R01-047,40393.06640625,40173.59415690104,11119.624161105225,0.27678937855738484,0.5101381559158393,131.3010503397155,40.51969524965606,125.11957171666829,126.28490003386193,108.85925350089553,33.82805904378753,18.13336335829767,0.3107504227328662,0.16657622365698563,249.0,1205.0,11522991649.0,5.470412830409913,532.0,2.497994119501459,1685.0,309.1999209254758,857.9622997884558,1011.5,0.0,1685.0,228.41523401644793,933.0485543582213,-0.807121942628756,35165379788.20801,0.030253728464390228,134480.29693167077,1469.6974925954144,37.03317309371476,995718.3510098559,-13856.214007040096,551.5257979498771,160.33328420779438,0.5441551363242437,8.679231334382548,4.5779590079311,83.89463863127746,0.00205342251712932,10.188497621760067,-0.08181245508781429,0.7503198280226904,0.15581635195638419,0.9701784404546039,0.2379584559069149,0.8977897947983821,0.16073145113187987,0.007729297515310315,6.144676100497692,177.96477053941814,363.1848124023506,0.02889759874301493,217.831940845143,1411.8699068439046,1.1689699480749545,1707.8518345603782,0.02703647442928982,0.022869398439723434,5.785373945527932,11394.194087715743,0.906475168655809,0.9495199572262132,0.059524260995463193,0.9626578508105119,1346.8064643857242,0.02198299807805764,133.663432729348,0.019070257202075613,242.50850125822166,1182.3434156085034,48.99529176772721,91577.34755314596,0.23033476826112703,0.02268020286923947,3952.9512055928094,0.5639821951195334,0.7791665282819988,868.905670727216,0.01583792358450259,7.093664035742655,0.5295406467210637,45.429127065926544,7.411300254755532,3420.5336959806586,0.2584265409474659,2.2595631701630428,400.4383499546691,214.77996237333073,1428.8622695678453,7.607132064067694,13304.488742822605,0.17105864298032675,0.022929461841375513,0.4809546281169559,569.2048487319483,0.009996554311900725,0.5938249309637512,0.0005664431823603087,11753.134378129213,0.5781049720968912,1.0057126417835658
R01-114_roi.nii,R01-114.nii,data/dataset/R01-114,511574.2455936325,510811.90293135616,55123.28129278586,0.10791307128211816,0.5606042706953434,236.70837334238072,79.39635429542466,235.89313250457718,235.89313250457718,216.10635612666968,61.493229899603556,56.29330936897464,0.28455076936080304,0.2604889110062945,336.0,1121.0,95553695000.0,4.7099251519113245,245.0,3.990908955881385,1645.0,241.48226329172874,891.8185021205201,1028.0,0.0,1645.0,146.65781030758296,943.7440792766268,-1.4732004119209343,455635078839.62396,0.06476040803127177,95312.64644520007,1462.759060075384,37.042577357449886,1053073.6503994837,-16813.412281077377,460.1797438770467,97.94982705053091,0.6476464590515483,5.792343279638587,3.9328336069607124,63.933018086433925,0.008147893012218738,8.773039660156506,-0.08897326312469016,0.7362158171095913,0.26984361922150735,0.980768740797452,0.345141574496859,0.9286546087071224,0.26749371082097767,0.026490514793584614,5.457602991497144,139.5323927318946,5580.086305913306,0.058311810784010716,155.13469157386592,1439.9297239024413,1.4109681581521438,2118.008918200226,0.036790979081499475,0.01812855470743137,5.328668603534426,77903.21765146177,0.8138171623379602,0.8919255326395187,0.15309607794267585,0.9209581641580115,1309.8388619949446,0.015039018105405227,800.5560248668908,0.023812606706531746,184.9494384568373,1106.7136440703173,14474.32460810851,26265584.997233707,17.408466535912627,0.009549543835206644,18259.66277997561,0.5431352146100601,0.7652409677698596,819.5848274691934,0.006237613546053843,7.0062467346035895,0.3133616069347998,14464.140841707824,7.310120089263868,14762.328890338817,0.13759918805367774,6.756335070724117,6947.820375634991,152.0753674783624,1462.5133429649998,21.27194854825931,34897.719513445496,1.2517441317014528,0.020758494298658385,0.300558234170397,347.4278220258843,0.0027305113105477448,4.232892715096007,6.38747082456762e-05,8023.1414531367955,0.28799203827995895,0.15819435550484462
R01-101_roi.nii,R01-101.nii,data/dataset/R01-101,6499.002485275269,6457.765866816044,4138.945477134295,0.6409252925075423,0.40518119643206985,47.26000362039456,47.26000362039456,40.156557027036385,45.322265625,30.563185627393054,28.39541135085515,12.866894667742619,0.9290723714809695,0.42099324411426303,381.0,1096.0,16515396892.0,4.874656363216595,458.0,2.2610317564744733,1260.0,246.07132519510301,832.4191135216009,979.0,36.0,1224.0,195.55201106335238,878.7380250895928,-0.7864274087235791,5018403097.3637295,0.05145876891792628,79258.93618227007,1293.9785528351176,34.98067538459661,342909.6805261477,-6471.775320499907,341.9725673443346,62.82312358143542,0.6801671645126504,5.230485179084502,3.848772816295383,34.63468414102498,0.008838971666520987,8.700813653571721,-0.12340663175313339,0.8078710713395255,0.2761659510533023,0.9775517267260768,0.3482306717726943,0.9145007005568553,0.2696508778338194,0.03583491282811885,5.522853536187015,101.19892273144252,837.4977509793206,0.04378355797901,129.83723732530805,1154.1742777825061,1.4145325120793262,1831.812692373057,0.002875973474807273,0.0024774554457563883,5.464959843177327,15765.625979799379,0.8237154739095706,0.8942325675073011,0.1623228729939893,0.925189120737264,1034.3668343723855,0.0023979455001389063,220.79683756588403,0.02644907014445185,109.46853866854136,772.1794441782463,1852.7750359367512,3264875.8580498323,1.0610941901923763,0.0037857324319801526,4391.123862002875,0.5260090874464393,0.7535131199463847,556.5099190330185,0.0030223958980140665,6.713202253536945,0.39031232466803817,1846.2109316830936,7.312726537415937,3342.9469796147373,0.1563001206103767,8.859675984348458,1100.6001496166075,126.88177927736186,1203.6439592294744,22.92182532261081,38403.03174677389,0.019405629970944357,0.002321235490402087,0.35221770292093096,283.40641635244305,0.0013114079226201915,1.1392425166901026,0.0004105832305946453,3583.038268337946,0.3594436759240282,0.5235947866412644
R01-091_roi.nii,R01-091.nii,data/dataset/R01-091,704.02587890625,693.3819691340128,737.4880342713686,1.0636100549202936,0.5137015098433118,20.325508529851604,20.325508529851604,15.395504064828675,18.564193699693142,14.4077683150845,12.352381762985909,6.671181079089143,0.8573417820755305,0.4630266765259278,220.0,1053.0,985575409.0,5.23534134559962,570.25,1.7298591598909003,1171.0,276.07269400137443,574.8155381944445,482.0,20.0,1151.0,228.99969066032128,654.039069628638,0.40145488724606965,301159111.7836857,0.029823209032600308,97354.20165092562,791.6902995222009,26.126103214102947,463366.2116225086,1854.3010027261798,527.3563127937285,93.75552705006277,0.6987526156944261,7.190087144426717,4.269601011749124,39.77417880958032,0.002022550167136184,9.62183013480656,-0.16746946423136203,0.9054053992041475,0.17350733023974202,0.9627577128636392,0.2549126171682501,0.8786054335410756,0.1733933247825112,0.012622551066014747,6.175350058861097,155.27795996094778,63.895226166027946,0.029332293012939794,151.05745229374477,688.3070360672648,1.1866044888767855,890.9750866498174,0.00601818256108918,0.005374968804578959,5.523138177314509,1962.1778553071736,0.9003914312321736,0.9454126602564101,0.06693954734797236,0.9599081125901943,647.0801244986297,0.005227661213341365,35.59433198380567,0.02882132144437706,112.95591535675064,574.6663967611336,22.307692307692307,34830.51255060729,0.03626819390138236,0.006104249772735619,621.9425101214575,0.503597174187415,0.7376134856419138,426.5898708073611,0.004652243610375054,6.608863862718223,0.5360243055555556,18.827277286957667,7.167386479003166,586.1458333333334,0.25440357349537035,3.066399468315972,68.71267361111111,155.91654892909676,708.6766493055555,8.919270833333334,10678.417100694445,0.027146164486809756,0.0052749065616143,0.46529330136373404,273.10264014139887,0.00285860166531481,0.35542383555988694,0.003640044004958146,3439.529900129083,0.6098478666787723,3.29545001886284
R01-102_roi.nii,R01-102.nii,data/dataset/R01-102,16845.889419994288,16704.805259298664,6662.266894460438,0.3988233799224875,0.47433995612941976,58.385174449471236,49.363277483113514,52.421349508252426,49.86536056807343,38.02388360070191,35.1379345334941,22.706171098914332,0.9241016752125093,0.5971554967229907,365.0,1195.5,22937603551.0,5.345366308582067,384.0,3.107955407100183,1667.0,250.48528721171945,889.6422149887622,995.0,0.0,1667.0,171.08226107641073,942.7871936104498,-1.0082827939420727,14973429937.99172,0.031724906596390115,97384.42174575645,1494.8109290146278,37.765422135961444,628775.2470280176,-10284.309633364495,396.1852613934231,122.43470606635462,0.5245000963720584,8.08401439756808,4.482688773528429,56.197145079056355,0.00179280021088098,10.09685313225975,-0.05959731018113587,0.6649923482725233,0.1371659320472562,0.9755705576232897,0.2229692801402291,0.9002918926547049,0.14168199472021278,0.005426341454065666,5.920806173296456,129.65499186494455,760.2134118880814,0.03079587917264931,158.15525358079998,1448.4781974599732,1.142651280166746,1692.531637503131,0.009729953683762529,0.008921256485883261,5.62464673721534,22674.240278682577,0.91840195485341,0.9565813555583377,0.049571577064138714,0.9676965331610414,1393.5899496075315,0.008741071280466285,324.1264542936288,0.02244643035274438,185.0935768170517,1291.388434903047,18.232271468144045,33040.785872576176,0.03907194428346831,0.011132080365588458,7885.38296398892,0.5460791526308116,0.7672525115695095,947.2559073757518,0.009087908885720083,7.009336238724124,0.5595597922963652,15.038476742044644,7.201490231616888,7330.782841199721,0.2840728063706007,1.6478078471387587,818.6929396264435,155.76271124502875,1459.659381539177,6.1799581492676126,10517.71401999535,0.034022328233429974,0.008777517029188697,0.501549224455096,645.295238940676,0.005554667059938554,1.1980411507240534,0.00028477158751153634,9490.176721071088,0.4413019151031579,0.4453193797537955
R01-060_roi.nii,R01-060.nii,data/dataset/R01-060,6274.902678096924,6180.554833987058,3027.363296239626,0.489820635453643,0.5379863117211849,57.00069854405344,21.391120457679396,56.94754979954754,56.02429916378599,49.783451091632735,16.32506119030949,12.98106540955437,0.3279214444225884,0.26075061340486577,208.4,1028.0,863975910.0,5.51448004852243,473.0,2.082020544011042,1456.0,254.19131309791632,610.7506702412869,592.0,0.0,1456.0,195.28686717968066,680.6304875553345,0.08625326808028319,2906897990.064465,0.023269052462103514,90241.47938963122,813.2001589034652,27.248704063502338,370619.29505589826,-693.643804012429,411.2521647613132,130.51749978741685,0.5158200618484944,8.837382026454957,4.546772079848921,50.829719737430146,0.0010769848799427966,10.11195048526486,-0.1551228744251692,0.9025537134093485,0.11722501596446441,0.9665055846270038,0.20055888651690978,0.8787776044023554,0.12238541996639604,0.0036239683116108456,6.269329589319479,135.44241613718253,41.97805100335638,0.023255568713090893,144.13669147483014,763.1733291837195,1.10271875750699,853.916332845787,0.018496945352768787,0.01702223699871354,5.697626704291215,1693.90529605662,0.9381932234984952,0.9678696638482163,0.03482884172801845,0.9758243234883549,741.9672858606276,0.016668481932484176,28.165145228215767,0.023373564504743375,144.48950259120878,716.3145228215768,4.083817427385892,3904.301244813278,0.04732438407791743,0.018040312039125286,656.7228215767635,0.5449981921798868,0.7668652075956401,539.8878678030148,0.013003897880765319,6.713872536213023,0.646112600536193,1.6883869079389129,7.099665540774091,643.344235924933,0.3449566948659158,0.9739755191225411,43.396782841823054,144.20065234422728,766.9506702412868,4.342627345844504,3855.3946380697053,0.0586028712174086,0.016940330650358073,0.5643074082179789,404.8274169660715,0.009518684571330488,0.22279776131084422,0.004468512721458099,6153.60965311718,0.5634498785766511,4.1368013575043685
R01-073_roi.nii,R01-073.nii,data/dataset/R01-073,11324.70703125,11194.3359375,5028.385978574855,0.44919019820820477,0.481268837403373,73.98598368103245,27.332587007087344,70.05647833177171,71.58910531638176,68.06584267778027,19.004286556674607,17.178950691900734,0.2792044557009276,0.252387247642329,231.20000000000005,1102.0,1653051546.0,5.467185139367282,612.0,1.8511387014712024,1497.0,298.6661414389463,725.6709351959643,789.0,0.0,1497.0,243.59912809478863,800.9141909887254,-0.3762100431592955,7264386676.7578125,0.026771405024809028,114865.23513893917,1115.8753313748678,32.202447199931356,529070.9606947707,-6287.10001248461,479.55249467224473,165.22784281690818,0.4863205383697362,9.295420440508979,4.637775393535512,75.65028600575833,0.0021409305816928984,9.873942104562452,-0.14654170811265652,0.8857562056368143,0.1527574902231813,0.9605552171299158,0.22968184652569568,0.8785464767652265,0.15661032278310952,0.011384837831645874,6.158871554698768,161.19508437228816,62.76194259712169,0.025538419742459115,184.09762174827287,1033.5627105692347,1.156601636675856,1275.1789285178722,0.013584743529166443,0.013033239219599544,5.733601728548296,2249.4359072951697,0.9151210880357036,0.9535536252649173,0.056209162252557184,0.966138006511209,982.4688907286353,0.012902621894511246,33.335691318327974,0.021437743613072654,172.68147599797354,821.6038585209003,24.07009646302251,42043.20450160772,0.040497677767695306,0.01748728593061802,962.4083601286173,0.6189121287000755,0.8142934424495326,634.7921674646843,0.015429645873814488,6.622439592063812,0.6034148234381064,21.323669523681517,7.21147071577873,774.5584012417539,0.30056592985710284,2.7791738173981377,68.98991074893287,183.80963356181041,1056.6142801707413,7.652696934419868,11926.338766006986,0.028250677379649,0.012596678873677927,0.5486173771129631,451.171838281289,0.0097856231071237,0.20560884452870043,0.00265823357838502,8345.068330272941,0.751200209323245,3.1050201108241233
