Morphology,Volume,10288
Morphology,approximate volume,11592
Morphology,Surface,3826.05
Morphology,Surface to volume ratio,0.371893
Morphology,Compactness1,0.0245263
Morphology,Compactness2,0.21373
Morphology,Spherical disproportion,1.67255
Morphology,sphericity,0.597891
Morphology,asphericity,0.544633
Morphology,center of mass shift,inf
Morphology,maximum 3D diameter,0
Morphology,major axis length,1.49736e-22
Morphology,minor axis length,0
Morphology,least axis length,1.02901e-11
Morphology,elongation,0
Morphology,flatness,262148
Morphology,vol density AABB,0.287954
Morphology,area density AABB,0.544091
Morphology,vol density AEE,inf
Morphology,integrated intensity,7.2143e+06
Morphology,Morans I,0.0808878
Morphology,Gearys C,0.915812
Local intensity,local intensity peak,611
Local intensity,global intensity peak,967
Statistics,mean,701.233
Statistics,variance,87528.5
Statistics,skewness,-0.081699
Statistics,kurtosis,-1.29929
Statistics,median,709
Statistics,minimum,38
Statistics,10th percentile,301
Statistics,90th percentile,1077
Statistics,maximum,1244
Statistics,Interquartile range,552
Statistics,range,1206
Statistics,Mean absolut deviation,262.14
Statistics,Robust mean absolute deviation,214.928
Statistics,Median absolute deviation,262.092
Statistics,Coefficient of variation,0.421903
Statistics,Quartile coefficient,0.390382
Statistics,Energy,8.39342e+08
Statistics,Root mean,761.089
intensity volume,volume at int fraction 10,0.988268
intensity volume,volume at int fraction 90,0.0427881
intensity volume,int at vol fraction 10,1086
intensity volume,int at vol fraction 90,302
intensity volume,difference vol at int fraction,0.94548
intensity volume,difference int at volume fraction,784
Intensity histogram,mean,68.5901
Intensity histogram,variance,139.829
Intensity histogram,skewness,-0.082913
Intensity histogram,kurtosis,-1.29571
Intensity histogram,median,69
Intensity histogram,minimum,42
Intensity histogram,10th percentile,53
Intensity histogram,90th percentile,84
Intensity histogram,maximum,90
Intensity histogram,mode,47
Intensity histogram,Interquartile range,22
Intensity histogram,range,48
Intensity histogram,Mean absolut deviation,10.4744
Intensity histogram,Robust mean absolute deviation,9.12674
Intensity histogram,Median absolut deviation,10.4707
Intensity histogram,Coefficient of variation,0.1724
Intensity histogram,Quartile coefficient,0.15942
Intensity histogram,Entropy,5.34429
Intensity histogram,Uniformity,0.0266141
Intensity histogram,Energy,7.01957e+06
Intensity histogram,Maximum histogram gradient,15.5
Intensity histogram,Maximum histogram gradient grey level,57
Intensity histogram,Minimum histogram gradient,-18
Intensity histogram,Minimum histogram gradient grey level,59
glcmFeatures2Davg,joint maximum,0.0386688
glcmFeatures2Davg,joint average,67.8617
glcmFeatures2Davg,joint variance,99.9038
glcmFeatures2Davg,joint entropy,5.90619
glcmFeatures2Davg,difference average,9.32358
glcmFeatures2Davg,difference variance,57.809
glcmFeatures2Davg,difference entropy,3.85351
glcmFeatures2Davg,sum average,135.723
glcmFeatures2Davg,sum variance,249.783
glcmFeatures2Davg,sum entropy,4.49336
glcmFeatures2Davg,angular second moment,0.0241388
glcmFeatures2Davg,contrast,149.832
glcmFeatures2Davg,dissimilarity,9.32357
glcmFeatures2Davg,inverse difference,0.199643
glcmFeatures2Davg,inverse difference normalised,0.911513
glcmFeatures2Davg,inverse difference moment,0.117977
glcmFeatures2Davg,inverse difference moment normalised,0.982562
glcmFeatures2Davg,inverse variance,0.13066
glcmFeatures2Davg,correlation,0.232571
glcmFeatures2Davg,autocorrelation,4667.01
glcmFeatures2Davg,cluster tendency,249.783
glcmFeatures2Davg,cluster shade,-845.972
glcmFeatures2Davg,cluster prominence,165887
glcmFeatures2Davg,first measure of information correlation,-0.646684
glcmFeatures2Davg,second measure of information correlation,0.997358
glcmFeatures2DDmrg,joint maximum,0.0060575
glcmFeatures2DDmrg,joint average,69.7675
glcmFeatures2DDmrg,joint variance,136.577
glcmFeatures2DDmrg,joint entropy,9.78629
glcmFeatures2DDmrg,difference average,9.46205
glcmFeatures2DDmrg,difference variance,64.8075
glcmFeatures2DDmrg,difference entropy,4.65932
glcmFeatures2DDmrg,sum average,139.535
glcmFeatures2DDmrg,sum variance,391.119
glcmFeatures2DDmrg,sum entropy,6.13054
glcmFeatures2DDmrg,angular second moment,0.00144316
glcmFeatures2DDmrg,contrast,155.191
glcmFeatures2DDmrg,dissimilarity,9.46203
glcmFeatures2DDmrg,inverse difference,0.199791
glcmFeatures2DDmrg,inverse difference normalised,0.910459
glcmFeatures2DDmrg,inverse difference moment,0.118402
