Morphology,Volume,28724.7
Morphology,approximate volume,31416
Morphology,Surface,10333.3
Morphology,Surface to volume ratio,0.359735
Morphology,Compactness1,0.0154285
Morphology,Compactness2,0.0845762
Morphology,Spherical disproportion,2.27816
Morphology,sphericity,0.438951
Morphology,asphericity,1.1461
Morphology,center of mass shift,inf
Morphology,maximum 3D diameter,0
Morphology,major axis length,1.49736e-22
Morphology,minor axis length,0
Morphology,least axis length,-nan(ind)
Morphology,elongation,0
Morphology,flatness,-nan(ind)
Morphology,vol density AABB,0.212914
Morphology,area density AABB,0.55723
Morphology,vol density AEE,-nan(ind)
Morphology,integrated intensity,2.72836e+07
Morphology,Morans I,0.0249507
Morphology,Gearys C,0.981777
Local intensity,local intensity peak,548
Local intensity,global intensity peak,1223
Statistics,mean,949.83
Statistics,variance,40366.2
Statistics,skewness,-1.92647
Statistics,kurtosis,3.76752
Statistics,median,1024
Statistics,minimum,0
Statistics,10th percentile,647
Statistics,90th percentile,1102
Statistics,maximum,1278
Statistics,Interquartile range,160
Statistics,range,1278
Statistics,Mean absolut deviation,145.001
Statistics,Robust mean absolute deviation,80.3536
Statistics,Median absolute deviation,127.81
Statistics,Coefficient of variation,0.211526
Statistics,Quartile coefficient,0.0807265
Statistics,Energy,3.70138e+09
Statistics,Root mean,970.848
intensity volume,volume at int fraction 10,0.993634
intensity volume,volume at int fraction 90,0.0236822
intensity volume,int at vol fraction 10,1106
intensity volume,int at vol fraction 90,648
intensity volume,difference vol at int fraction,0.969952
intensity volume,difference int at volume fraction,458
Intensity histogram,mean,78.52
Intensity histogram,variance,64.7175
Intensity histogram,skewness,-1.92345
Intensity histogram,kurtosis,3.75278
Intensity histogram,median,81
Intensity histogram,minimum,41
Intensity histogram,10th percentile,66
Intensity histogram,90th percentile,85
Intensity histogram,maximum,92
Intensity histogram,mode,50
Intensity histogram,Interquartile range,6
Intensity histogram,range,51
Intensity histogram,Mean absolut deviation,5.808
Intensity histogram,Robust mean absolute deviation,3.54579
Intensity histogram,Median absolut deviation,5.12885
Intensity histogram,Coefficient of variation,0.102454
Intensity histogram,Quartile coefficient,0.0375
Intensity histogram,Entropy,4.3934
Intensity histogram,Uniformity,0.0732347
Intensity histogram,Energy,2.44651e+07
Intensity histogram,Maximum histogram gradient,113
Intensity histogram,Maximum histogram gradient grey level,81
Intensity histogram,Minimum histogram gradient,-167
Intensity histogram,Minimum histogram gradient grey level,85
glcmFeatures2Davg,joint maximum,0.0698952
glcmFeatures2Davg,joint average,78.4081
glcmFeatures2Davg,joint variance,49.7671
glcmFeatures2Davg,joint entropy,5.50024
glcmFeatures2Davg,difference average,5.56604
glcmFeatures2Davg,difference variance,36.9264
glcmFeatures2Davg,difference entropy,3.25085
glcmFeatures2Davg,sum average,156.816
glcmFeatures2Davg,sum variance,128.318
glcmFeatures2Davg,sum entropy,3.88916
glcmFeatures2Davg,angular second moment,0.0383265
glcmFeatures2Davg,contrast,70.7508
glcmFeatures2Davg,dissimilarity,5.56604
glcmFeatures2Davg,inverse difference,0.314094
glcmFeatures2Davg,inverse difference normalised,0.946458
glcmFeatures2Davg,inverse difference moment,0.233105
glcmFeatures2Davg,inverse difference moment normalised,0.992077
glcmFeatures2Davg,inverse variance,0.235542
glcmFeatures2Davg,correlation,0.211201
glcmFeatures2Davg,autocorrelation,6169.28
glcmFeatures2Davg,cluster tendency,128.318
glcmFeatures2Davg,cluster shade,-2876.28
glcmFeatures2Davg,cluster prominence,153083
glcmFeatures2Davg,first measure of information correlation,-0.471439
glcmFeatures2Davg,second measure of information correlation,0.971072
glcmFeatures2DDmrg,joint maximum,0.0316228
glcmFeatures2DDmrg,joint average,79.2354
glcmFeatures2DDmrg,joint variance,59.2131
glcmFeatures2DDmrg,joint entropy,8.09262
glcmFeatures2DDmrg,difference average,5.47347
glcmFeatures2DDmrg,difference variance,45.8441
glcmFeatures2DDmrg,difference entropy,3.92893
glcmFeatures2DDmrg,sum average,158.471
glcmFeatures2DDmrg,sum variance,160.93
glcmFeatures2DDmrg,sum entropy,5.038
glcmFeatures2DDmrg,angular second moment,0.00869594
glcmFeatures2DDmrg,contrast,75.9227
glcmFeatures2DDmrg,dissimilarity,5.47346
glcmFeatures2DDmrg,inverse difference,0.330051
glcmFeatures2DDmrg,inverse difference normalised,0.947827
glcmFeatures2DDmrg,inverse difference moment,0.251175
glcmFeatures2DDmrg,inverse difference moment normalised,0.991601
glcmFeatures2DDmrg,inverse variance,0.25138
glcmFeatures2DDmrg,correlation,0.359187
glcmFeatures2DDmrg,autocorrelation,6299.5
glcmFeatures2DDmrg,cluster tendency,160.93
glcmFeatures2DDmrg,cluster shade,-4817.67
glcmFeatures2DDmrg,cluster prominence,257101
glcmFeatures2DDmrg,first measure of information correlation,-0.0837539
glcmFeatures2DDmrg,second measure of information correlation,0.711361
glcmFeatures2Dmrg,joint maximum,0.0460253
glcmFeatures2Dmrg,joint average,78.3488
glcmFeatures2Dmrg,joint variance,50.7234
glcmFeatures2Dmrg,joint entropy,6.53338
glcmFeatures2Dmrg,difference average,5.52511
glcmFeatures2Dmrg,difference variance,37.4407
glcmFeatures2Dmrg,difference entropy,3.67567
glcmFeatures2Dmrg,sum average,156.698
glcmFeatures2Dmrg,sum variance,132.791
glcmFeatures2Dmrg,sum entropy,4.5153
glcmFeatures2Dmrg,angular second moment,0.0175081
glcmFeatures2Dmrg,contrast,70.1022
glcmFeatures2Dmrg,dissimilarity,5.52511
glcmFeatures2Dmrg,inverse difference,0.31573
glcmFeatures2Dmrg,inverse difference normalised,0.946839
glcmFeatures2Dmrg,inverse difference moment,0.234696
glcmFeatures2Dmrg,inverse difference moment normalised,0.99215
glcmFeatures2Dmrg,inverse variance,0.236765
glcmFeatures2Dmrg,correlation,0.247682
glcmFeatures2Dmrg,autocorrelation,6161.02
glcmFeatures2Dmrg,cluster tendency,132.791
glcmFeatures2Dmrg,cluster shade,-2980.29
glcmFeatures2Dmrg,cluster prominence,156445
glcmFeatures2Dmrg,first measure of information correlation,-0.216825
glcmFeatures2Dmrg,second measure of information correlation,0.865504
glcmFeatures2Dvmrg,joint maximum,0.0316575
glcmFeatures2Dvmrg,joint average,79.2381
glcmFeatures2Dvmrg,joint variance,59.1468
glcmFeatures2Dvmrg,joint entropy,8.26178
glcmFeatures2Dvmrg,difference average,5.45444
glcmFeatures2Dvmrg,difference variance,45.7745
glcmFeatures2Dvmrg,difference entropy,3.93689
glcmFeatures2Dvmrg,sum average,158.476
glcmFeatures2Dvmrg,sum variance,161.062
glcmFeatures2Dvmrg,sum entropy,5.05894
glcmFeatures2Dvmrg,angular second moment,0.00855942
glcmFeatures2Dvmrg,contrast,75.5255
glcmFeatures2Dvmrg,dissimilarity,5.45447
glcmFeatures2Dvmrg,inverse difference,0.330789
glcmFeatures2Dvmrg,inverse difference normalised,0.947998
glcmFeatures2Dvmrg,inverse difference moment,0.251995
glcmFeatures2Dvmrg,inverse difference moment normalised,0.991644
glcmFeatures2Dvmrg,inverse variance,0.252392
glcmFeatures2Dvmrg,correlation,0.361543
glcmFeatures2Dvmrg,autocorrelation,6300.06
glcmFeatures2Dvmrg,cluster tendency,161.062
glcmFeatures2Dvmrg,cluster shade,-4826.31
glcmFeatures2Dvmrg,cluster prominence,257679
glcmFeatures2Dvmrg,first measure of information correlation,-0.0438074
glcmFeatures2Dvmrg,second measure of information correlation,0.556134
glcmFeatures3Davg,joint maximum,0.0347887
glcmFeatures3Davg,joint average,79.2859
glcmFeatures3Davg,joint variance,58.2102
glcmFeatures3Davg,joint entropy,7.99564
glcmFeatures3Davg,difference average,5.20719
glcmFeatures3Davg,difference variance,43.0512
glcmFeatures3Davg,difference entropy,3.82746
glcmFeatures3Davg,sum average,158.572
glcmFeatures3Davg,sum variance,161.557
glcmFeatures3Davg,sum entropy,5.0393
glcmFeatures3Davg,angular second moment,0.00964864
glcmFeatures3Davg,contrast,71.284
glcmFeatures3Davg,dissimilarity,5.20718
glcmFeatures3Davg,inverse difference,0.347726
glcmFeatures3Davg,inverse difference normalised,0.95028
glcmFeatures3Davg,inverse difference moment,0.271452
glcmFeatures3Davg,inverse difference moment normalised,0.99211
glcmFeatures3Davg,inverse variance,0.260894
glcmFeatures3Davg,correlation,0.38834
glcmFeatures3Davg,autocorrelation,6308.83
glcmFeatures3Davg,cluster tendency,161.556
