Morphology,Volume,274.947
Morphology,approximate volume,696
Morphology,Surface,191.29
Morphology,Surface to volume ratio,0.695733
Morphology,Compactness1,0.0586323
Morphology,Compactness2,1.22145
Morphology,Spherical disproportion,0.935495
Morphology,sphericity,1.06895
Morphology,asphericity,-0.49634
Morphology,center of mass shift,inf
Morphology,maximum 3D diameter,0
Morphology,major axis length,1.49736e-22
Morphology,minor axis length,0
Morphology,least axis length,3.1846e+15
Morphology,elongation,0
Morphology,flatness,4.61174e+18
Morphology,vol density AABB,0.204574
Morphology,area density AABB,0.236745
Morphology,vol density AEE,inf
Morphology,integrated intensity,153923
Morphology,Morans I,0.0555034
Morphology,Gearys C,0.966397
Local intensity,local intensity peak,369
Local intensity,global intensity peak,418
Statistics,mean,559.828
Statistics,variance,91995.8
Statistics,skewness,0.319225
Statistics,kurtosis,-1.41514
Statistics,median,456
Statistics,minimum,70
Statistics,10th percentile,221
Statistics,90th percentile,982
Statistics,maximum,1065
Statistics,Interquartile range,609
Statistics,range,995
Statistics,Mean absolut deviation,274.074
Statistics,Robust mean absolute deviation,231.183
Statistics,Median absolute deviation,263.621
Statistics,Coefficient of variation,0.541788
Statistics,Quartile coefficient,0.515665
Statistics,Energy,3.527e+07
Statistics,Root mean,636.712
intensity volume,volume at int fraction 10,0.954023
intensity volume,volume at int fraction 90,0.126437
intensity volume,int at vol fraction 10,995
intensity volume,int at vol fraction 90,222
intensity volume,difference vol at int fraction,0.827586
intensity volume,difference int at volume fraction,773
Intensity histogram,mean,62.9195
Intensity histogram,variance,146.856
Intensity histogram,skewness,0.318653
Intensity histogram,kurtosis,-1.41106
Intensity histogram,median,59
Intensity histogram,minimum,43
Intensity histogram,10th percentile,49
Intensity histogram,90th percentile,80
Intensity histogram,maximum,83
Intensity histogram,mode,49
Intensity histogram,Interquartile range,24
Intensity histogram,range,40
Intensity histogram,Mean absolut deviation,10.942
Intensity histogram,Robust mean absolute deviation,9.4759
Intensity histogram,Median absolut deviation,10.5172
Intensity histogram,Coefficient of variation,0.192602
Intensity histogram,Quartile coefficient,0.1875
Intensity histogram,Entropy,4.90515
Intensity histogram,Uniformity,0.0379178
Intensity histogram,Energy,357198
Intensity histogram,Maximum histogram gradient,2
Intensity histogram,Maximum histogram gradient grey level,49
Intensity histogram,Minimum histogram gradient,-1.5
Intensity histogram,Minimum histogram gradient grey level,51
glcmFeatures2Davg,joint maximum,0.0537297
glcmFeatures2Davg,joint average,64.0988
glcmFeatures2Davg,joint variance,108.796
glcmFeatures2Davg,joint entropy,5.21795
glcmFeatures2Davg,difference average,9.21185
glcmFeatures2Davg,difference variance,59.0472
glcmFeatures2Davg,difference entropy,3.5218
glcmFeatures2Davg,sum average,128.198
glcmFeatures2Davg,sum variance,287.318
glcmFeatures2Davg,sum entropy,4.03001
glcmFeatures2Davg,angular second moment,0.0295331
glcmFeatures2Davg,contrast,147.867
glcmFeatures2Davg,dissimilarity,9.21185
glcmFeatures2Davg,inverse difference,0.215039
glcmFeatures2Davg,inverse difference normalised,0.906398
glcmFeatures2Davg,inverse difference moment,0.135722
glcmFeatures2Davg,inverse difference moment normalised,0.979808
glcmFeatures2Davg,inverse variance,0.140769
glcmFeatures2Davg,correlation,0.272661
glcmFeatures2Davg,autocorrelation,4181.92
glcmFeatures2Davg,cluster tendency,287.318
glcmFeatures2Davg,cluster shade,-1061.37
glcmFeatures2Davg,cluster prominence,188664
glcmFeatures2Davg,first measure of information correlation,-0.698803
glcmFeatures2Davg,second measure of information correlation,0.997945
glcmFeatures2DDmrg,joint maximum,0.0211153
glcmFeatures2DDmrg,joint average,65.7229
glcmFeatures2DDmrg,joint variance,147.31
glcmFeatures2DDmrg,joint entropy,6.83368
glcmFeatures2DDmrg,difference average,9.55415
glcmFeatures2DDmrg,difference variance,64.7049
glcmFeatures2DDmrg,difference entropy,4.20881
glcmFeatures2DDmrg,sum average,131.446
glcmFeatures2DDmrg,sum variance,431.333
glcmFeatures2DDmrg,sum entropy,5.22798
glcmFeatures2DDmrg,angular second moment,0.00920875
glcmFeatures2DDmrg,contrast,157.908
glcmFeatures2DDmrg,dissimilarity,9.55415
glcmFeatures2DDmrg,inverse difference,0.213215
glcmFeatures2DDmrg,inverse difference normalised,0.903389
glcmFeatures2DDmrg,inverse difference moment,0.135613
glcmFeatures2DDmrg,inverse difference moment normalised,0.978472
glcmFeatures2DDmrg,inverse variance,0.139517
glcmFeatures2DDmrg,correlation,0.46324
glcmFeatures2DDmrg,autocorrelation,4388.11
glcmFeatures2DDmrg,cluster tendency,431.333
glcmFeatures2DDmrg,cluster shade,306.062
glcmFeatures2DDmrg,cluster prominence,319382
glcmFeatures2DDmrg,first measure of information correlation,-0.599608
glcmFeatures2DDmrg,second measure of information correlation,0.998558
glcmFeatures2Dmrg,joint maximum,0.0287561
glcmFeatures2Dmrg,joint average,64.0764
glcmFeatures2Dmrg,joint variance,108.961
glcmFeatures2Dmrg,joint entropy,6.84768
glcmFeatures2Dmrg,difference average,9.124
glcmFeatures2Dmrg,difference variance,60.4637
glcmFeatures2Dmrg,difference entropy,4.31858
glcmFeatures2Dmrg,sum average,128.153
glcmFeatures2Dmrg,sum variance,290.35
glcmFeatures2Dmrg,sum entropy,5.1965
glcmFeatures2Dmrg,angular second moment,0.0102458
glcmFeatures2Dmrg,contrast,145.493
glcmFeatures2Dmrg,dissimilarity,9.124
glcmFeatures2Dmrg,inverse difference,0.217603
glcmFeatures2Dmrg,inverse difference normalised,0.907197
glcmFeatures2Dmrg,inverse difference moment,0.138684
glcmFeatures2Dmrg,inverse difference moment normalised,0.980118
glcmFeatures2Dmrg,inverse variance,0.144468
glcmFeatures2Dmrg,correlation,0.290085
glcmFeatures2Dmrg,autocorrelation,4180.29
glcmFeatures2Dmrg,cluster tendency,290.35
glcmFeatures2Dmrg,cluster shade,-1143.67
glcmFeatures2Dmrg,cluster prominence,192606
glcmFeatures2Dmrg,first measure of information correlation,-0.304017
glcmFeatures2Dmrg,second measure of information correlation,0.952096
glcmFeatures2Dvmrg,joint maximum,0.0116732
glcmFeatures2Dvmrg,joint average,65.6927
glcmFeatures2Dvmrg,joint variance,147.551
glcmFeatures2Dvmrg,joint entropy,8.38056
glcmFeatures2Dvmrg,difference average,9.47082
glcmFeatures2Dvmrg,difference variance,65.7511
glcmFeatures2Dvmrg,difference entropy,4.55312
glcmFeatures2Dvmrg,sum average,131.385
glcmFeatures2Dvmrg,sum variance,434.758
glcmFeatures2Dvmrg,sum entropy,5.92268
glcmFeatures2Dvmrg,angular second moment,0.00346712
glcmFeatures2Dvmrg,contrast,155.447
glcmFeatures2Dvmrg,dissimilarity,9.47081
glcmFeatures2Dvmrg,inverse difference,0.214802
glcmFeatures2Dvmrg,inverse difference normalised,0.904128
glcmFeatures2Dvmrg,inverse difference moment,0.137453
glcmFeatures2Dvmrg,inverse difference moment normalised,0.978793
glcmFeatures2Dvmrg,inverse variance,0.143206
glcmFeatures2Dvmrg,correlation,0.473243
glcmFeatures2Dvmrg,autocorrelation,4385.35
glcmFeatures2Dvmrg,cluster tendency,434.758
glcmFeatures2Dvmrg,cluster shade,217.371
glcmFeatures2Dvmrg,cluster prominence,323777
glcmFeatures2Dvmrg,first measure of information correlation,-0.289412
glcmFeatures2Dvmrg,second measure of information correlation,0.970221
glcmFeatures3Davg,joint maximum,0.0234973
glcmFeatures3Davg,joint average,66.1185
glcmFeatures3Davg,joint variance,151.372
glcmFeatures3Davg,joint entropy,6.39618
glcmFeatures3Davg,difference average,12.8893
glcmFeatures3Davg,difference variance,90.4339
glcmFeatures3Davg,difference entropy,4.25535
glcmFeatures3Davg,sum average,132.237
glcmFeatures3Davg,sum variance,341.294
glcmFeatures3Davg,sum entropy,4.84721
glcmFeatures3Davg,angular second moment,0.0125464
glcmFeatures3Davg,contrast,264.196
glcmFeatures3Davg,dissimilarity,12.8893
glcmFeatures3Davg,inverse difference,0.180584
glcmFeatures3Davg,inverse difference normalised,0.874641
glcmFeatures3Davg,inverse difference moment,0.112447
glcmFeatures3Davg,inverse difference moment normalised,0.9647
glcmFeatures3Davg,inverse variance,0.107356
glcmFeatures3Davg,correlation,0.133198
glcmFeatures3Davg,autocorrelation,4391.19
glcmFeatures3Davg,cluster tendency,341.294
glcmFeatures3Davg,cluster shade,-311.971
glcmFeatures3Davg,cluster prominence,241904
glcmFeatures3Davg,first measure of information correlation,-0.670157
glcmFeatures3Davg,second measure of information correlation,0.999104
glcmFeatures3DWmrg,joint maximum,0.00819672
glcmFeatures3DWmrg,joint average,66.0254
glcmFeatures3DWmrg,joint variance,150.825
glcmFeatures3DWmrg,joint entropy,9.04859
glcmFeatures3DWmrg,difference average,12.1787
glcmFeatures3DWmrg,difference variance,92.8746
glcmFeatures3DWmrg,difference entropy,4.87821
glcmFeatures3DWmrg,sum average,132.051
glcmFeatures3DWmrg,sum variance,362.104
glcmFeatures3DWmrg,sum entropy,5.9658
glcmFeatures3DWmrg,angular second moment,0.00230315
glcmFeatures3DWmrg,contrast,241.195
glcmFeatures3DWmrg,dissimilarity,12.1787
glcmFeatures3DWmrg,inverse difference,0.186542
glcmFeatures3DWmrg,inverse difference normalised,0.880733
glcmFeatures3DWmrg,inverse difference moment,0.11647
glcmFeatures3DWmrg,inverse difference moment normalised,0.967677
glcmFeatures3DWmrg,inverse variance,0.115628
glcmFeatures3DWmrg,correlation,0.200413
glcmFeatures3DWmrg,autocorrelation,4389.58
glcmFeatures3DWmrg,cluster tendency,362.104
glcmFeatures3DWmrg,cluster shade,-377.863
glcmFeatures3DWmrg,cluster prominence,260349
glcmFeatures3DWmrg,first measure of information correlation,-0.145565
glcmFeatures3DWmrg,second measure of information correlation,0.870872
GLRLMFeatures2Davg,short run emphasis,0.970701
GLRLMFeatures2Davg,long runs emphasis,1.1172
GLRLMFeatures2Davg,Low grey level run emphasis,0.000292724
GLRLMFeatures2Davg,High grey level run emphasis,3929.83
GLRLMFeatures2Davg,Short run low grey level emphasis,0.000285023
GLRLMFeatures2Davg,Short run high grey level emphasis,3798.01
GLRLMFeatures2Davg,Long run low grey level emphasis,0.000323528
GLRLMFeatures2Davg,Long run high grey level emphasis,4457.11
GLRLMFeatures2Davg,Grey level non uniformity,1.77977
GLRLMFeatures2Davg,Grey level non uniformity normalized,0.0680202
GLRLMFeatures2Davg,Run length non uniformity,25.8761
GLRLMFeatures2Davg,Run length non uniformity normalized,0.92681
GLRLMFeatures2Davg,Run percentage,0.963232
GLRLMFeatures2Davg,Grey level variance,111.457
GLRLMFeatures2Davg,Run length variance,0.0365949
GLRLMFeatures2Davg,Run entropy,4.14126
GLRLMFeatures2DDmrg,short run emphasis,0.970875
GLRLMFeatures2DDmrg,long runs emphasis,1.1165
GLRLMFeatures2DDmrg,Low grey level run emphasis,0.000282651
GLRLMFeatures2DDmrg,High grey level run emphasis,4077.04
GLRLMFeatures2DDmrg,Short run low grey level emphasis,0.00027566
GLRLMFeatures2DDmrg,Short run high grey level emphasis,3935.94
GLRLMFeatures2DDmrg,Long run low grey level emphasis,0.000310614
GLRLMFeatures2DDmrg,Long run high grey level emphasis,4641.42
GLRLMFeatures2DDmrg,Grey level non uniformity,3.13088
GLRLMFeatures2DDmrg,Grey level non uniformity normalized,0.0373791
GLRLMFeatures2DDmrg,Run length non uniformity,77.5071
GLRLMFeatures2DDmrg,Run length non uniformity normalized,0.925407
GLRLMFeatures2DDmrg,Run percentage,0.962644
GLRLMFeatures2DDmrg,Grey level variance,144.971
GLRLMFeatures2DDmrg,Run length variance,0.0372966
GLRLMFeatures2DDmrg,Run entropy,5.01375
